Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,36.610001,39.837502,36.502499,39.715000,38.936409,4015600
2018-01-03,39.380001,39.697498,37.617500,38.732498,37.973171,5006400
2018-01-04,38.767502,39.197498,37.180000,37.197498,36.468266,2424800
2018-01-05,37.407501,39.099998,37.294998,38.377499,37.625130,2622400
2018-01-08,38.525002,38.997501,37.750000,38.654999,37.897194,1697200
2018-01-09,39.000000,39.720001,37.750000,39.402500,38.630039,1632800
2018-01-10,39.400002,39.455002,38.327499,38.665001,37.906998,1536000
2018-01-11,38.490002,39.202499,37.689999,38.060001,37.313858,2073600
2018-01-12,38.000000,38.937500,37.849998,38.759998,38.000134,1500400
2018-01-16,38.177502,38.259998,36.097500,36.837502,36.115326,3699600
2018-01-17,37.250000,37.685001,37.044998,37.230000,36.500126,3140400
2018-01-18,37.302502,38.997501,37.102501,37.974998,37.230522,2339600
2018-01-19,38.099998,39.452499,38.099998,39.202499,38.433960,2497600
2018-01-22,39.497501,41.547501,38.810001,41.277500,40.468281,4475200
2018-01-23,41.049999,41.060001,38.014999,38.095001,37.348175,4272400
2018-01-24,37.977501,39.507500,37.587502,39.180000,38.411903,3060400
2018-01-25,38.974998,39.930000,38.117500,39.282501,38.512394,3267600
2018-01-26,39.599998,39.722500,38.152500,39.200001,38.431511,2981600
2018-01-29,38.607498,39.457500,32.500000,37.427502,36.693756,3991600
2018-01-30,37.250000,37.945000,37.057499,37.639999,36.902088,1647200
2018-01-31,38.365002,38.474998,37.325001,37.372501,36.639835,1270800
2018-02-01,37.002499,37.222500,35.247501,35.862499,35.159439,2628000
2018-02-02,35.895000,36.235001,35.127499,35.247501,34.556499,1277200
2018-02-05,34.895000,36.337502,34.025002,34.205002,33.534435,1989200
2018-02-06,33.200001,34.407501,33.025002,34.302502,33.630024,1666800
2018-02-07,34.177502,34.767502,33.750000,34.377499,33.703548,968400
2018-02-08,34.520000,35.275002,32.987499,33.002499,32.355503,1980400
2018-02-09,32.807499,34.244999,32.150002,33.502499,32.845703,1622000
2018-02-12,34.532501,35.930000,34.439999,35.570000,34.872669,1666000
2018-02-13,35.462502,36.037498,34.112499,34.705002,34.024632,1430400
2018-02-14,34.544998,36.625000,34.544998,36.462502,35.747677,1402000
2018-02-15,37.000000,37.220001,36.185001,36.867500,36.144733,840400
2018-02-16,36.657501,37.630001,36.327499,36.747501,36.027088,910000
