Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,131.509995,132.110001,123.360001,124.769997,124.769997,3992000
2021-01-05,123.930000,127.309998,123.580002,126.089996,126.089996,1428900
2021-01-06,124.839996,130.729996,124.839996,129.389999,129.389999,2280000
2021-01-07,129.259995,131.190002,129.139999,130.350006,130.350006,1909800
2021-01-08,131.199997,132.190002,128.979996,129.690002,129.690002,1485400
2021-01-11,127.750000,129.250000,127.070000,128.660004,128.660004,1692300
2021-01-12,127.889999,128.600006,126.099998,127.389999,127.389999,2927900
2021-01-13,126.809998,127.320000,124.389999,126.510002,126.510002,2715000
2021-01-14,128.350006,130.630005,127.260002,128.929993,128.929993,1886600
2021-01-15,128.229996,128.380005,125.739998,126.800003,126.800003,1698100
2021-01-19,127.330002,128.229996,125.459999,126.860001,126.860001,1587300
2021-01-20,126.029999,127.639999,125.029999,126.730003,126.730003,1990100
2021-01-21,126.010002,127.690002,124.519997,126.620003,126.620003,1771600
2021-01-22,125.269997,126.269997,122.779999,122.900002,122.900002,2155300
2021-01-25,122.389999,122.589996,116.900002,119.620003,119.620003,4417500
2021-01-26,120.379997,121.440002,119.300003,120.440002,120.440002,1966400
2021-01-27,118.690002,120.389999,115.949997,117.470001,117.470001,3939600
2021-01-28,120.010002,123.470001,120.010002,120.709999,120.709999,3559900
2021-01-29,119.750000,119.970001,115.500000,116.309998,116.309998,4842000
2021-02-01,117.949997,119.769997,117.080002,117.750000,117.750000,2227400
2021-02-02,119.470001,122.559998,118.989998,122.099998,122.099998,2591700
2021-02-03,122.000000,124.769997,121.849998,123.349998,123.349998,2256800
2021-02-04,124.010002,125.849998,123.309998,125.449997,125.449997,1868900
2021-02-05,126.989998,129.520004,126.980003,129.479996,129.479996,2807100
2021-02-08,130.149994,130.820007,126.699997,129.089996,129.089996,2187800
2021-02-09,129.289993,129.289993,126.099998,127.050003,127.050003,1404100
2021-02-10,127.070000,128.929993,126.160004,126.750000,126.750000,1699900
2021-02-11,127.559998,128.740005,125.029999,126.650002,126.650002,1929300
2021-02-12,125.739998,129.789993,125.559998,129.479996,129.479996,1740200
2021-02-16,130.009995,131.089996,128.580002,130.399994,130.399994,2443800
2021-02-17,128.399994,133.259995,127.529999,131.339996,131.339996,2904800
2021-02-18,128.259995,132.770004,127.540001,131.979996,131.979996,2620400
2021-02-19,131.279999,137.580002,131.279999,136.279999,136.279999,2855700
2021-02-22,139.199997,145.429993,138.669998,142.559998,142.559998,5314900
2021-02-23,145.000000,149.669998,142.149994,149.550003,149.550003,5632800
2021-02-24,149.500000,157.600006,149.389999,157.500000,157.500000,5865800
2021-02-25,156.259995,159.979996,148.800003,150.089996,150.089996,5147300
2021-02-26,150.279999,152.229996,145.800003,148.070007,148.070007,4106700
2021-03-01,151.029999,151.029999,147.970001,148.470001,148.470001,2284600
2021-03-02,147.139999,149.779999,145.869995,148.949997,148.949997,2892900
2021-03-03,149.509995,150.330002,146.279999,146.309998,146.309998,2333200
2021-03-04,147.229996,147.619995,139.600006,144.770004,144.770004,4118900
2021-03-05,146.660004,147.389999,138.970001,146.919998,146.919998,3039400
2021-03-08,149.570007,153.050003,146.320007,150.440002,150.440002,3123200
2021-03-09,151.240005,151.410004,146.660004,147.000000,147.000000,2949800
2021-03-10,147.399994,150.809998,146.830002,147.139999,147.139999,2262500
2021-03-11,147.139999,150.639999,145.759995,148.830002,148.830002,2242400
2021-03-12,149.350006,151.910004,148.119995,150.199997,150.199997,1686900
2021-03-15,152.490005,154.050003,150.250000,153.559998,153.559998,2564800
2021-03-16,153.559998,154.149994,149.539993,150.630005,150.630005,1707600
2021-03-17,149.850006,156.149994,149.770004,155.949997,155.949997,2726700
2021-03-18,154.570007,157.639999,152.100006,154.289993,154.289993,2840000
