Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,175.350006,177.820007,174.419998,177.000000,161.185806,2301100
2018-01-03,176.910004,181.440002,175.759995,180.339996,164.227417,3084000
2018-01-04,180.630005,180.860001,178.750000,179.580002,163.535339,2021100
2018-01-05,180.839996,180.880005,179.029999,180.649994,164.509689,2211400
2018-01-08,180.479996,181.250000,178.429993,180.600006,164.464203,2356200
2018-01-09,180.529999,184.529999,180.119995,183.380005,166.995804,3031700
2018-01-10,182.660004,183.699997,180.369995,182.860001,166.522263,2542700
2018-01-11,182.860001,182.860001,181.100006,181.960007,165.702682,2101300
2018-01-12,182.339996,185.610001,181.750000,185.039993,168.507523,3111400
2018-01-16,185.619995,187.449997,184.169998,185.539993,168.962799,3374600
2018-01-17,187.699997,189.300003,185.899994,188.009995,171.212143,4018200
2018-01-18,187.449997,188.559998,185.500000,187.589996,170.829620,3084900
2018-01-19,188.360001,189.720001,187.600006,189.279999,172.368652,3652300
2018-01-22,189.729996,192.570007,189.429993,192.330002,175.146164,3579800
2018-01-23,193.000000,196.029999,191.600006,191.990005,174.836517,3486700
2018-01-24,192.750000,192.940002,189.509995,190.630005,173.598068,2765700
2018-01-25,191.399994,191.800003,188.899994,190.080002,173.097198,2470300
2018-01-26,191.050003,196.800003,190.990005,196.009995,178.497360,3920300
2018-01-29,196.210007,201.229996,195.649994,198.000000,180.309570,4565700
2018-01-30,196.179993,196.470001,190.550003,191.270004,174.180878,3990800
2018-01-31,191.639999,192.270004,184.649994,186.050003,169.427246,4677700
2018-02-01,185.000000,186.830002,182.330002,185.559998,168.981018,4078100
2018-02-02,183.460007,192.600006,183.009995,187.009995,170.301468,7029400
2018-02-05,186.820007,188.600006,174.619995,174.750000,159.136856,6922800
2018-02-06,177.990005,180.279999,172.039993,176.649994,160.867111,7527700
2018-02-07,176.250000,180.990005,176.000000,177.470001,161.613861,5715700
2018-02-08,177.929993,180.419998,173.000000,173.119995,157.652496,6026800
2018-02-09,174.130005,175.460007,168.250000,173.460007,157.962112,6093900
2018-02-12,174.300003,176.669998,173.000000,174.869995,159.246109,4324800
2018-02-13,173.869995,176.699997,172.460007,175.940002,160.220551,3834700
2018-02-14,174.080002,180.309998,174.059998,179.520004,164.716492,5958700
2018-02-15,180.000000,185.000000,179.899994,183.600006,168.460052,4493400
2018-02-16,183.800003,186.119995,182.679993,183.550003,168.414124,4365800
2018-02-20,182.889999,184.309998,182.139999,182.979996,167.891159,4078400
2018-02-21,183.190002,185.500000,182.399994,182.429993,167.386505,4054600
2018-02-22,182.509995,185.160004,182.009995,182.449997,167.404877,3868200
2018-02-23,183.630005,186.789993,182.770004,186.669998,171.276871,4163400
2018-02-26,187.460007,190.369995,187.029999,188.500000,172.955963,4943600
2018-02-27,188.830002,190.100006,185.550003,185.789993,170.469437,5016100
2018-02-28,185.880005,187.389999,183.690002,183.770004,168.616028,4544000
2018-03-01,184.210007,185.570007,180.380005,183.289993,168.175598,11757800
2018-03-02,181.059998,185.800003,181.050003,185.080002,169.818008,19115500
2018-03-05,185.050003,190.690002,185.000000,190.130005,174.451553,15187800
2018-03-06,188.199997,191.639999,186.929993,190.350006,174.653412,18446500
2018-03-07,189.729996,190.220001,186.410004,187.529999,172.065948,7009900
2018-03-08,187.899994,188.399994,185.509995,187.160004,171.726471,9192600
2018-03-09,188.000000,191.380005,186.320007,191.100006,175.341583,5674100
2018-03-12,189.500000,190.389999,188.320007,189.300003,173.689987,6972400
2018-03-13,189.600006,190.830002,188.630005,189.750000,174.102875,4712900
2018-03-14,191.179993,192.619995,189.800003,190.570007,174.855286,3613300
2018-03-15,190.050003,190.880005,187.910004,189.750000,174.102875,3320500
