Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,67.550003,69.000000,67.540001,68.570000,67.313095,1294400
2018-01-03,68.540001,69.169998,68.500000,69.070000,67.803940,1109700
2018-01-04,69.239998,69.379997,68.339996,69.010002,67.745041,1022600
2018-01-05,69.529999,70.540001,69.180000,70.529999,69.237167,2411100
2018-01-08,70.120003,70.769997,70.010002,70.589996,69.296074,1196600
2018-01-09,70.570000,71.800003,70.300003,71.699997,70.385750,1719900
2018-01-10,71.660004,72.620003,70.970001,72.349998,71.023827,1848200
2018-01-11,72.250000,73.430000,72.199997,72.639999,71.308502,1501000
2018-01-12,72.669998,73.160004,72.050003,72.900002,71.563744,1750700
2018-01-16,72.250000,72.400002,70.559998,70.620003,69.325539,2152000
2018-01-17,71.209999,71.250000,70.080002,70.279999,68.991760,1945600
2018-01-18,70.279999,70.500000,68.860001,69.489998,68.216240,2434600
2018-01-19,69.400002,69.400002,68.160004,68.910004,67.646873,3157800
2018-01-22,69.269997,69.410004,68.620003,69.129997,67.862846,2531300
2018-01-23,68.900002,69.860001,68.629997,69.190002,67.921745,2911600
2018-01-24,69.570000,69.709999,67.639999,67.699997,66.459053,3603900
2018-01-25,68.139999,68.820000,67.930000,68.050003,66.802643,2528300
2018-01-26,68.410004,68.809998,68.120003,68.599998,67.342552,2332000
2018-01-29,68.480003,69.050003,68.080002,68.730003,67.470177,2438800
2018-01-30,69.019997,69.900002,68.129997,69.360001,68.088631,3413400
2018-01-31,69.500000,69.779999,68.830002,69.129997,67.862846,2276800
2018-02-01,68.889999,69.059998,67.949997,68.290001,67.038246,1301500
2018-02-02,67.830002,68.010002,66.379997,66.389999,65.173065,2218000
2018-02-05,66.400002,66.699997,63.400002,63.410000,62.247688,3887600
2018-02-06,62.700001,64.260002,61.230000,63.990002,62.817059,5219200
2018-02-07,62.490002,64.570000,61.529999,63.480000,62.316410,6285400
2018-02-08,63.270000,63.490002,61.180000,61.220001,60.097836,3131400
2018-02-09,61.560001,62.230000,59.750000,61.310001,60.186188,3790800
2018-02-12,61.680000,63.110001,61.270000,62.490002,61.344555,2686900
2018-02-13,62.029999,62.799999,60.799999,62.490002,61.344555,2692800
2018-02-14,62.200001,62.900002,61.930000,62.220001,61.079506,2849400
2018-02-15,62.700001,64.440002,62.150002,64.400002,63.219547,2284300
2018-02-16,64.400002,64.830002,63.990002,64.220001,63.042843,2522400
2018-02-20,63.990002,64.500000,62.930000,63.000000,61.845207,1485100
2018-02-21,63.070000,64.480003,62.980000,63.369999,62.208424,1447500
2018-02-22,63.410000,64.120003,62.730000,62.910000,61.756859,2054000
2018-02-23,63.230000,64.540001,62.830002,64.529999,63.347160,1698100
2018-02-26,64.680000,65.000000,63.990002,64.250000,63.072285,1465600
2018-02-27,64.540001,65.419998,63.950001,63.950001,62.777794,2582900
2018-02-28,64.290001,65.169998,64.050003,64.160004,62.983948,2434500
2018-03-01,64.269997,64.830002,61.990002,62.369999,61.226757,2506000
2018-03-02,62.139999,63.290001,62.099998,62.939999,61.786308,4135400
