country,Date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,female_smokers,male_smokers,hospital_beds_per_thousand
USA,2020/3/22,34898,8873,588,113,3.1,,2173,0,2946,72752,463921,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/23,46136,11238,779,191,2.93,,2812,,,77222,541143,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/24,56755,10619,1020,241,2.74,,3938,,,101979,643122,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/25,68837,12082,1350,330,2.59,,5140,,,112419,755541,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/26,86693,17856,1767,417,2.48,1299,7805,,,127457,882998,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/27,105383,18690,2283,516,2.34,1792,10887,,,132924,1015922,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/28,125013,19630,2920,637,2.21,2174,12393,,,118883,1134805,0.131,7.6,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/29,143912,18899,3528,608,2.09,2456,14055,82,14331,107716,1242521,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/30,165987,22075,4237,709,2,3087,15892,,,119774,1362295,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/31,192301,26314,5334,1097,1.93,3487,18155,,,139114,1501409,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/1,224544,32243,6649,1315,1.86,3937,20906,,,150113,1651522,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/2,256779,32235,8156,1507,1.76,4513,22995,,,159149,1810671,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/3,289066,32287,9585,1429,1.67,4928,25723,,,166227,1976898,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/4,321482,32416,11151,1566,1.57,5500,30456,,,145011,2121909,0.221,4.5,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/5,351359,29877,12775,1624,1.48,5811,32180,453,28347,137966,2259875,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/6,382740,31381,14542,1767,1.41,7079,36159,,,139508,2399383,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/7,413507,30767,17121,2579,1.35,9978,43849,,,176232,2575615,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/8,444699,31192,19272,2151,1.29,10276,45359,,,164839,2740454,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/9,480640,35941,21488,2216,1.25,12445,51323,,,170766,2911220,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/10,515055,34415,23705,2217,1.2,12693,53167,,,175332,3086552,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/11,544185,29130,25810,2105,1.14,13293,55563,,,211743,3298295,0.217,4.6,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/12,571440,27255,27679,1869,1.1,13597,55294,840,26077,110320,3408615,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/13,598370,26930,29684,2005,1.07,13605,56211,,,113001,3521616,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/14,627151,28781,32129,2445,1.06,14047,59610,,,160653,3682269,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/15,652591,25440,34725,2596,1.04,14639,59930,,,170969,3853238,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/16,682626,30035,36878,2153,1.04,15136,59496,,,180510,4033748,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/17,715656,33030,38995,2117,1.04,14910,58892,,,194620,4228368,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/18,743588,27932,40987,1992,1.02,14764,57799,,,164116,4392484,0.19,5.3,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/19,769684,26096,42967,1980,1.01,14385,56497,696,23320,133890,4526374,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/20,799512,29828,45199,2232,1.01,14463,56721,,,156702,4683076,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/21,825429,25917,47718,2519,1.01,14945,59779,,,226356,4909432,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/22,854288,28859,50165,2447,1.02,15016,59207,,,231696,5141128,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/23,887858,33570,52631,2466,1.02,14737,59214,,,228668,5369796,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/24,920185,32327,54824,2193,1.01,14623,57370,,,262926,5632722,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/25,950580,30395,56537,1713,0.99,14411,57340,,,216038,5848760,0.157,6.4,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/26,977081,26501,57931,1394,0.97,14093,56161,426,17851,169294,6018054,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/27,1000784,23703,59448,1517,0.96,13812,56183,,,225066,6243120,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/28,1025361,24577,61668,2220,0.96,13562,56034,,,267250,6510370,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/29,1051799,26438,64078,2410,0.97,13550,56009,,,291658,6802028,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/4/30,1081019,29220,66366,2288,0.98,13246,54905,,,318937,7120965,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/5/1,1115945,34926,68265,1899,0.98,12861,54897,,,333005,7453970,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/5/2,1143295,27350,69988,1723,0.96,12904,54008,,,265561,7719531,0.128,7.8,tests performed,,,,,19.1,24.6,2.77
USA,2020/5/3,1167592,24297,71166,1178,0.94,12724,52623,1931,23311,214248,7933779,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/5/4,1191677,24085,72531,1365,0.93,12701,52375,,,247512,8181291,,,tests performed,,,,,19.1,24.6,2.77
