Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,40.169998,40.340000,38.330002,38.730000,38.730000,15123400
2021-01-05,38.490002,40.090000,38.450001,39.549999,39.549999,12317200
2021-01-06,39.639999,40.900002,39.540001,40.380001,40.380001,12881100
2021-01-07,40.450001,40.950001,40.209999,40.230000,40.230000,9136300
2021-01-08,40.410000,40.689999,39.770000,40.020000,40.020000,9497500
2021-01-11,39.080002,39.990002,38.900002,39.410000,39.410000,11754900
2021-01-12,39.689999,40.410000,39.160000,40.299999,40.299999,9725000
2021-01-13,40.009998,40.740002,39.630001,40.450001,40.450001,10852500
2021-01-14,41.209999,42.639999,41.119999,41.470001,41.470001,17658300
2021-01-15,41.669998,41.669998,39.959999,39.980000,39.980000,15465500
2021-01-19,40.310001,40.650002,39.799999,40.310001,40.310001,11530700
2021-01-20,40.689999,41.770000,40.500000,41.619999,41.619999,11335700
2021-01-21,41.310001,41.430000,40.169998,40.669998,40.669998,11155100
2021-01-22,40.000000,40.270000,39.810001,40.000000,40.000000,11310100
2021-01-25,39.630001,39.750000,38.419998,38.900002,38.900002,15964900
2021-01-26,39.259998,39.639999,38.980000,39.320000,39.320000,10599400
2021-01-27,38.630001,39.230000,38.160000,38.520000,38.520000,16953400
2021-01-28,39.549999,40.369999,38.990002,40.080002,40.080002,21654000
2021-01-29,39.270000,39.830002,37.740002,37.959999,37.959999,17977200
2021-02-01,38.349998,38.439999,37.419998,37.820000,37.820000,10332900
2021-02-02,38.549999,38.880001,37.990002,38.799999,38.799999,11854300
2021-02-03,38.869999,39.900002,38.700001,39.779999,39.779999,12416000
2021-02-04,39.950001,41.070000,39.939999,40.930000,40.930000,11431800
2021-02-05,41.380001,41.400002,40.750000,41.150002,41.150002,10087700
2021-02-08,41.549999,43.459999,41.360001,43.240002,43.240002,18296300
2021-02-09,42.959999,42.959999,41.810001,42.509998,42.509998,10432100
2021-02-10,42.840000,43.220001,42.160000,42.900002,42.900002,12011100
2021-02-11,42.700001,43.139999,42.000000,42.720001,42.720001,8537500
2021-02-12,42.509998,43.939999,42.410000,43.290001,43.290001,11472800
2021-02-16,43.990002,44.810001,43.779999,44.650002,44.650002,13775500
2021-02-17,44.279999,44.500000,43.540001,44.389999,44.389999,10934400
2021-02-18,43.799999,44.549999,43.369999,44.380001,44.380001,8747800
2021-02-19,44.619999,46.220001,44.549999,45.669998,45.669998,14587700
2021-02-22,46.750000,48.930000,46.470001,47.740002,47.740002,21573500
2021-02-23,48.130001,48.880001,45.700001,48.340000,48.340000,19193800
2021-02-24,48.930000,50.200001,48.619999,49.599998,49.599998,17020900
2021-02-25,49.970001,50.000000,47.230000,48.250000,48.250000,15729800
2021-02-26,47.700001,49.139999,47.279999,47.939999,47.939999,14824400
2021-03-01,49.470001,49.959999,48.060001,48.060001,48.060001,13779500
2021-03-02,48.099998,48.680000,47.380001,48.230000,48.230000,11527400
2021-03-03,48.619999,49.090000,48.139999,48.349998,48.349998,13619300
2021-03-04,48.320000,48.410000,45.320000,46.959999,46.959999,17985200
2021-03-05,46.910000,47.000000,43.009998,46.209999,46.209999,20598300
2021-03-08,46.930000,48.220001,46.700001,47.880001,47.880001,17257900
2021-03-09,47.959999,48.080002,46.340000,47.619999,47.619999,11691900
2021-03-10,47.650002,48.580002,47.160000,47.799999,47.799999,10712700
2021-03-11,48.209999,48.959999,47.580002,48.320000,48.320000,11289200
2021-03-12,48.349998,49.860001,48.080002,49.830002,49.830002,15879700
2021-03-15,50.860001,52.279999,50.750000,50.990002,50.990002,19673700
2021-03-16,51.040001,51.139999,49.029999,49.389999,49.389999,14239700
2021-03-17,49.029999,50.639999,49.009998,50.439999,50.439999,13579500
2021-03-18,50.080002,50.980000,48.930000,49.180000,49.180000,13410100
